ID,Correct,Missing,Spurious,Partial,Pr,Recall,F-Score
idiv.100.xml,25,4,29,0,0.463,0.862,0.602
befchina_331.xml,232,89,167,8,0.58,0.717,0.641
idiv.65.xml,15,1,10,6,0.581,0.818,0.679
befchina_542.xml,279,394,202,1,0.58,0.415,0.484
DRYAD.214431.xml,24,0,7,1,0.766,0.98,0.86
bexis_20206.xml,61,99,69,6,0.471,0.386,0.424
bexis_18007.xml,17,34,25,7,0.418,0.353,0.383
befchina_577.xml,214,49,123,5,0.633,0.808,0.71
dryad_203055.xml,10,6,4,1,0.7,0.618,0.656
befchina_315.xml,167,183,88,0,0.655,0.477,0.552
idiv.114.xml,17,6,10,0,0.63,0.739,0.68
bexis_21136.xml,52,53,12,1,0.808,0.495,0.614
DRYAD.216617.xml,3,3,11,0,0.214,0.5,0.3
DRYAD.211775.xml,3,3,0,0,1.0,0.5,0.667
PANGAEA_899258.xml,33,21,17,1,0.657,0.609,0.632
dryad_204343.xml,8,23,19,0,0.296,0.258,0.276
dryad_210598.xml,14,15,9,1,0.604,0.483,0.537
PANGAEA_900053.xml,39,7,27,0,0.591,0.848,0.697
befchina_162.xml,152,33,175,0,0.465,0.822,0.594
befchina_82.xml,208,98,116,7,0.639,0.676,0.657
PANGAEA_897964.xml,25,21,29,0,0.463,0.543,0.5
idiv.107.xml,31,0,15,0,0.674,1.0,0.805
BEXIS.25206.xml,102,42,195,9,0.348,0.696,0.464
befchina_224.xml,67,39,132,1,0.338,0.631,0.44
dryad_212091.xml,22,14,11,0,0.667,0.611,0.638
PANGAEA_901178.xml,50,31,50,0,0.5,0.617,0.552
befchina_539.xml,230,84,167,8,0.578,0.727,0.644
BEXIS.22607.xml,46,8,35,0,0.568,0.852,0.682
BEXIS.24986.xml,18,4,29,1,0.385,0.804,0.521
idiv.59.xml,20,37,21,1,0.488,0.353,0.41
befchina_150.xml,202,81,137,9,0.593,0.707,0.645
idiv.112.xml,19,8,13,0,0.594,0.704,0.644
idiv.119.xml,42,30,16,6,0.703,0.577,0.634
idiv.108.xml,24,2,19,0,0.558,0.923,0.696
idiv.103.xml,28,19,2,0,0.933,0.596,0.727
idiv.101.xml,16,3,15,0,0.516,0.842,0.64
PANGAEA_901852.xml,30,17,26,0,0.536,0.638,0.583
bexis_21489.xml,16,15,20,0,0.444,0.516,0.477
DRYAD.213760.xml,30,1,10,0,0.75,0.968,0.845
PANGAEA_897419.xml,112,58,36,1,0.755,0.658,0.703
PANGAEA_898301.xml,14,16,36,0,0.28,0.467,0.35
befchina_540.xml,170,119,111,13,0.6,0.584,0.592
BEXIS.19166.xml,163,7,227,0,0.418,0.959,0.582
PANGAEA_898616.xml,20,9,39,0,0.339,0.69,0.455
PANGAEA_901371.xml,38,47,31,0,0.551,0.447,0.494
dryad_215642.xml,1,9,7,0,0.125,0.1,0.111
DRYAD.215197.xml,13,2,8,0,0.619,0.867,0.722
bexis_23430.xml,12,28,29,1,0.298,0.305,0.301
PANGAEA_899845.xml,43,41,31,12,0.57,0.51,0.538
BEXIS.25786.xml,84,18,55,1,0.604,0.82,0.696
