ID,Correct,Missing,Spurious,Partial,Pr,Recall,F-Score
befchina_331.xml,232,89,167,8,0.58,0.717,0.641
befchina_542.xml,279,394,202,1,0.58,0.415,0.484
befchina_577.xml,214,49,123,5,0.633,0.808,0.71
befchina_315.xml,167,183,88,0,0.655,0.477,0.552
befchina_162.xml,152,33,175,0,0.465,0.822,0.594
befchina_82.xml,208,98,116,7,0.639,0.676,0.657
befchina_224.xml,67,39,132,1,0.338,0.631,0.44
befchina_539.xml,230,84,167,8,0.578,0.727,0.644
befchina_150.xml,202,81,137,9,0.593,0.707,0.645
befchina_540.xml,170,119,111,13,0.6,0.584,0.592
,,,,,,,
Macro – Avg,1921,1169,1418,52,0.5661,0.6564,0.5959
