ID,Correct,Missing,Spurious,Partial,Pr,Recall,F-Score
bexis_20206.xml,61,99,69,6,0.471,0.386,0.424
bexis_18007.xml,17,34,25,7,0.418,0.353,0.383
bexis_21136.xml,52,53,12,1,0.808,0.495,0.614
BEXIS.25206.xml,102,42,195,9,0.348,0.696,0.464
BEXIS.22607.xml,46,8,35,0,0.568,0.852,0.682
BEXIS.24986.xml,18,4,29,1,0.385,0.804,0.521
bexis_21489.xml,16,15,20,0,0.444,0.516,0.477
BEXIS.19166.xml,163,7,227,0,0.418,0.959,0.582
bexis_23430.xml,12,28,29,1,0.298,0.305,0.301
BEXIS.25786.xml,84,18,55,1,0.604,0.82,0.696
,,,,,,,
,571,308,696,26,0.4762,0.6186,0.5144
