ID,Correct,Missing,Spurious,Partial,Pr,Recall,F-Score
DRYAD.214431.xml,24,0,7,1,0.766,0.98,0.86
dryad_203055.xml,10,6,4,1,0.7,0.618,0.656
DRYAD.216617.xml,3,3,11,0,0.214,0.5,0.3
DRYAD.211775.xml,3,3,0,0,1,0.5,0.667
dryad_204343.xml,8,23,19,0,0.296,0.258,0.276
dryad_210598.xml,14,15,9,1,0.604,0.483,0.537
dryad_212091.xml,22,14,11,0,0.667,0.611,0.638
DRYAD.213760.xml,30,1,10,0,0.75,0.968,0.845
dryad_215642.xml,1,9,7,0,0.125,0.1,0.111
DRYAD.215197.xml,13,2,8,0,0.619,0.867,0.722
,,,,,,,
Macro Avg,128,76,86,3,0.5741,0.5885,0.5612
