ID,Correct,Missing,Spurious,Partial,Pr,Recall,F-Score
idiv.100.xml,25,4,29,0,0.463,0.862,0.602
idiv.65.xml,15,1,10,6,0.581,0.818,0.679
idiv.114.xml,17,6,10,0,0.63,0.739,0.68
idiv.107.xml,31,0,15,0,0.674,1,0.805
idiv.59.xml,20,37,21,1,0.488,0.353,0.41
idiv.112.xml,19,8,13,0,0.594,0.704,0.644
idiv.119.xml,42,30,16,6,0.703,0.577,0.634
idiv.108.xml,24,2,19,0,0.558,0.923,0.696
idiv.103.xml,28,19,2,0,0.933,0.596,0.727
idiv.101.xml,16,3,15,0,0.516,0.842,0.64
,,,,,,,
Macro – Avg,237,110,150,13,0.614,0.7414,0.6517
