ID,Correct,Missing,Spurious,Partial,Pr,Recall,F-Score
PANGAEA_899258.xml,33,21,17,1,0.657,0.609,0.632
PANGAEA_900053.xml,39,7,27,0,0.591,0.848,0.697
PANGAEA_897964.xml,25,21,29,0,0.463,0.543,0.5
PANGAEA_901178.xml,50,31,50,0,0.5,0.617,0.552
PANGAEA_901852.xml,30,17,26,0,0.536,0.638,0.583
PANGAEA_897419.xml,112,58,36,1,0.755,0.658,0.703
PANGAEA_898301.xml,14,16,36,0,0.28,0.467,0.35
PANGAEA_898616.xml,20,9,39,0,0.339,0.69,0.455
PANGAEA_901371.xml,38,47,31,0,0.551,0.447,0.494
PANGAEA_899845.xml,43,41,31,12,0.57,0.51,0.538
,,,,,,,
Macro – Avg,404,268,322,14,0.5242,0.6027,0.5504
